UserID,ShowID,PlaybackStarted,PlaybackStopped,CompletionPercent
U001,M1,12/7/2004,7/12/2005,76
U002,M2,5/6/2012,1/1/2013,63
U003,M7,3/26/2010,11/4/2010,67
U004,M8,4/7/2002,1/25/2003,33
U005,M9,1/3/2008,8/20/2008,38
U006,M10,12/5/2020,5/5/2021,91
U007,M3,3/31/2018,8/27/2018,100
U008,M6,11/11/2009,9/30/2010,80
U009,M10,6/5/2019,7/25/2019,36
U010,M7,11/20/2012,4/1/2013,38
U011,M1,4/2/2008,1/10/2009,35
U006,M10,12/5/2020,5/5/2021,91
U012,M9,11/20/2003,11/28/2003,38
U013,M2,7/21/2014,2/17/2015,55
U014,M3,1/27/2018,3/5/2018,31
U015,M4,11/18/2011,9/6/2012,86
U016,M5,3/31/2005,1/30/2006,84
U017,M6,6/23/2020,10/12/2020,17
U018,M7,4/3/2005,9/27/2005,51
U019,M8,3/9/2019,8/15/2019,92
U020,M9,12/14/2005,4/9/2006,34
U021,M1,4/7/2013,10/11/2013,74
U022,M2,2/21/2023,7/29/2023,82
U023,M3,3/8/2008,12/16/2008,97
U024,M4,6/25/2019,7/20/2019,30
U025,M2,12/13/2005,3/6/2006,53
U026,M3,7/17/2022,2/8/2023,47
U027,M5,9/23/2009,6/9/2010,100
U028,M4,3/3/2010,3/20/2010,61
U029,M6,3/24/2005,3/17/2006,90
U008,M6,11/11/2009,9/30/2010,80
U009,M10,6/5/2019,7/25/2019,36
U010,M7,11/20/2012,4/1/2013,38
U030,M7,9/17/2018,6/18/2019,95
U031,M9,10/14/2010,1/18/2011,56
U032,M11,8/22/2022,11/24/2022,44
U033,M4,5/1/2000,11/19/2000,93
U034,M7,3/4/2001,2/4/2002,44
U035,M2,1/20/2005,7/11/2005,77
U036,M3,6/15/2017,7/16/2017,100
U037,M15,12/5/2018,10/14/2019,83
U038,M8,11/1/2004,11/12/2004,90
U039,M9,5/30/2000,7/16/2000,38
U040,M11,12/7/2007,4/6/2008,85
U041,M14,2/26/2003,5/26/2003,14
U042,M12,7/31/2014,2/28/2015,27
U043,M13,10/8/2023,9/14/2024,38
U044,M16,10/19/2005,1/25/2006,67
U045,M13,6/1/2000,6/5/2000,13
U046,M11,2/15/2007,11/8/2007,71
U047,M20,2/9/2015,6/13/2015,39
U048,M15,4/29/2018,8/24/2018,74
U049,M16,7/30/2007,2/10/2008,84
U050,M13,7/22/2019,1/13/2020,77
U001,M3,4/9/2008,12/29/2008,33
U002,M4,3/18/2001,8/16/2001,93
U003,M1,5/18/2021,1/13/2022,73
U004,M2,6/19/2022,12/28/2022,60
U005,M7,11/7/2016,1/5/2017,24
U006,M8,12/25/2019,12/5/2020,49
U007,M5,1/21/2020,4/27/2020,100
U008,M4,4/21/2000,9/16/2000,77
U009,M8,9/18/2023,8/6/2024,94
U010,M5,7/9/2017,2/9/2018,0
U011,M8,11/25/2014,10/18/2015,60
U012,M7,9/15/2017,8/9/2018,94
U013,M9,10/13/2007,11/20/2007,70
U014,M1,10/9/2020,2/5/2021,77
U015,M6,7/30/2019,9/26/2019,58
U016,M3,7/14/2002,5/20/2003,16
U017,M1,5/9/2015,9/16/2015,65
U018,M5,6/14/2003,2/27/2004,42
U019,M6,11/1/2007,12/16/2007,87
U020,M7,6/23/2002,7/26/2002,0
U021,M8,10/11/2016,8/8/2017,38
U022,M9,6/16/2016,7/11/2016,68
U023,M1,5/18/2016,8/13/2016,60
U024,M2,4/26/2012,6/18/2012,45
U025,M4,4/22/2019,11/1/2019,100
U026,M6,5/2/2003,9/27/2003,46
U027,M1,9/4/2017,2/2/2018,79
U028,M2,7/2/2001,2/11/2002,96
U029,M3,7/3/2018,9/8/2018,22
U030,M5,5/10/2022,7/9/2022,59
U031,M6,12/9/2009,11/21/2010,16
U032,M8,10/30/2022,3/1/2023,18
U033,M9,5/27/2015,2/8/2016,27
U034,M5,1/12/2012,2/27/2012,62
U035,M11,5/21/2010,7/21/2010,59
U036,M4,10/8/2018,3/25/2019,56
U037,M7,6/2/2007,7/20/2007,40
U038,M12,3/22/2009,9/1/2009,73
U039,M16,1/25/2011,7/22/2011,59
U040,M8,6/11/2004,6/30/2004,23
U041,M9,8/21/2003,2/10/2004,86
U042,M11,12/12/2011,10/31/2012,82
U043,M15,7/31/2023,5/18/2024,94
U044,M17,11/29/2018,11/8/2019,53
U045,M15,11/22/2015,4/11/2016,77
U046,M14,5/18/2003,3/22/2004,100
U047,M18,7/28/2016,12/8/2016,50
U048,M13,11/23/2023,1/31/2024,44
U049,M17,9/28/2002,1/24/2003,64
U050,M11,12/11/2019,8/16/2020,61
U001,M5,6/21/2015,9/23/2015,53
U002,M6,8/29/2020,6/27/2021,38
U003,M9,1/8/2005,2/1/2005,18
U004,M5,8/13/2015,12/29/2015,94
U005,M3,1/20/2005,3/2/2005,99
U006,M1,2/24/2003,1/24/2004,51
U023,M3,3/8/2008,12/16/2008,97
U024,M4,6/25/2019,7/20/2019,30
U025,M2,12/13/2005,3/6/2006,53
U026,M3,7/17/2022,2/8/2023,47
U027,M5,9/23/2009,6/9/2010,100
U007,M2,1/19/2018,10/17/2018,83
U008,M9,3/2/2014,7/15/2014,35
U009,M1,5/18/2008,9/8/2008,89
U010,M3,3/19/2022,9/10/2022,58
U011,M6,3/4/2008,6/7/2008,47
U012,M4,12/27/2010,8/4/2011,63
U013,M5,6/9/2013,10/14/2013,32
U014,M8,1/12/2004,6/10/2004,61
U015,M2,3/25/2006,4/2/2006,58
U016,M7,9/19/2004,1/20/2005,90
U017,M9,5/18/2020,4/27/2021,17
U018,M3,7/9/2004,3/10/2005,50
U019,M1,9/4/2003,7/6/2004,55
U020,M4,12/24/2021,6/20/2022,24
U021,M5,10/26/2005,1/31/2006,78
U022,M6,10/1/2005,6/26/2006,60
U023,M7,1/29/2008,6/2/2008,38
U024,M8,4/5/2017,3/6/2018,54
U025,M1,3/25/2002,7/7/2002,67
U026,M7,5/21/2022,1/26/2023,78
U027,M8,10/30/2007,6/22/2008,42
U028,M9,3/13/2012,7/11/2012,12
U029,M1,6/26/2023,3/14/2024,56
U001,M5,6/21/2015,9/23/2015,53
U002,M6,8/29/2020,6/27/2021,38
U003,M9,1/8/2005,2/1/2005,18
U004,M5,8/13/2015,12/29/2015,94
U005,M3,1/20/2005,3/2/2005,99
U030,M2,10/15/2005,6/25/2006,34
U031,M3,11/23/2002,10/26/2003,99
U032,M7,8/13/2020,6/9/2021,80
U033,M2,5/30/2012,6/24/2012,95
U034,M8,3/31/2000,6/26/2000,61
U035,M9,2/12/2009,7/29/2009,41
U036,M6,12/27/2013,3/1/2014,12
U037,M11,12/13/2023,3/5/2024,30
U038,M14,6/4/2017,7/21/2017,58
U039,M13,6/27/2019,12/14/2019,30
U040,M15,1/5/2014,11/17/2014,38
U041,M7,9/3/2023,12/26/2023,21
U042,M16,11/30/2007,7/22/2008,82
U043,M18,1/10/2023,7/8/2023,98
U044,M14,10/24/2014,6/27/2015,94
U045,M17,1/15/2003,5/19/2003,89
U046,M16,11/28/2001,7/1/2002,90
U047,M19,5/30/2023,12/10/2023,89
U048,M11,7/22/2002,3/12/2003,92
U049,M14,5/4/2007,2/9/2008,91
U050,M15,3/15/2018,12/29/2018,50
U032,M7,8/13/2020,6/9/2021,80
U033,M2,5/30/2012,6/24/2012,95
U034,M8,3/31/2000,6/26/2000,61
U035,M9,2/12/2009,7/29/2009,41
U036,M6,12/27/2013,3/1/2014,12
U037,M11,12/13/2023,3/5/2024,30
U038,M14,6/4/2017,7/21/2017,58
U045,M17,1/15/2003,5/19/2003,89
U046,M16,11/28/2001,7/1/2002,90
U047,M19,5/30/2023,12/10/2023,89
U048,M11,7/22/2002,3/12/2003,92
U049,M14,5/4/2007,2/9/2008,91
U045,M17,1/15/2003,5/19/2003,89
U046,M16,11/28/2001,7/1/2002,90
U047,M19,5/30/2023,12/10/2023,89
U048,M11,7/22/2002,3/12/2003,92
U049,M14,5/4/2007,2/9/2008,91
U044,M14,10/24/2014,6/27/2015,94
U045,M17,1/15/2003,5/19/2003,89
U046,M16,11/28/2001,7/1/2002,90
U047,M19,5/30/2023,12/10/2023,89
U048,M11,7/22/2002,3/12/2003,92
U049,M14,5/4/2007,2/9/2008,91
U050,M15,3/15/2018,12/29/2018,50
U032,M7,8/13/2020,6/9/2021,80
U033,M2,5/30/2012,6/24/2012,95
U034,M8,3/31/2000,6/26/2000,61
U035,M9,2/12/2009,7/29/2009,41
U036,M6,12/27/2013,3/1/2014,12
